Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,620,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,45,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,324,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,217,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,163,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,3127,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2839,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,681,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 42,Expulsions,3,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,733,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,9,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2071,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2156,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1580,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2974,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,4,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,4,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,12360,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,159,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,340,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,22866,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,268,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,771,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,23,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1151,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,585,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,629,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,18,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,295,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12748,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,56199,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,762,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,46,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1979,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1840,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,642,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3059,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,73,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,4773,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,11375,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,2,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1213,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,23904,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,315,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1261,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,97,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,31,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,3917,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1572,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,37,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,125,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,6,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,2152,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,29,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,2904,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,10,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5932,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,696,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1456,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1527,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,205,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,164,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,719,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,453,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1859,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,21,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1903,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2951,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1621,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,9,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,48,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,27,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,1072,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1580,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1632,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 42,Expulsions,7,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,644,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,547,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,49,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1148,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,8,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,5399,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3045,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,278,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,44,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1323,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1186,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,169,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,57,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,8,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,44,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,23,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8627,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,92,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,50,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,714,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,272,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,88,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,22285,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,993,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,807,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,15,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1508,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,74,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,36,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,20,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,11,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3818,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,439,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,4890,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,449,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,632,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1363,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,94,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,61,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,42,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,16,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,16004,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1370,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4954,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,908,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2488,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2704,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,11,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,37,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,936,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,4265,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,23,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,109,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,264,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,690,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,84,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,19,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2092,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,47789,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,80,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,11,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,513,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,5,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,657,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,130,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1138,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,606,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1729,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,15,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2278,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1207,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,2011,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,46,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,5062,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,4044,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,57,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,19,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,8,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1229,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,452,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,575,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,208,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,13663,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1719,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,52,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,465,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,868,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,50,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,4970,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,13683,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,777,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,96,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,697,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3147,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,3409,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1565,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1652,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1133,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,241,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,291,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,54,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,8773,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,514,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,81,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,27,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,7118,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,947,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,13,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,103,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,657,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,18,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,559,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,899,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,122,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2918,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7889,,,,,,,,,,,,
