Date,Agric,Food,Soda,Beer,Smoke,Toys,Fun,Books,Hshld,Clths,Hlth,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach,ElcEq,Autos,Aero,Ships,Guns,Gold,Mines,Coal,Oil,Util,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin,Other,Rf,Rm
192809,-0.9,2.12,,0.26,-0.39,20.69,10.1,1.2,10.47,-1.13,,7.06,-3.58,3.77,,3.57,5.5,-0.22,5.58,,3.82,0.27,8.22,5.99,-1.26,,,3.01,-1.06,5.74,3.76,0.15,2.94,-1.61,8.04,,3.58,-3.58,,-1.62,0.3,1.05,0.16,-0.02,5.48,-2.24,-1.3,2.2,-4.06,0.2723,3.149783
192810,4.73,-1.19,,4.04,3.44,-10.54,-0.24,5.28,8.15,-3.55,,-0.65,0.28,5.23,,5.96,6.04,1.92,6.51,,2.13,2.1,-0.04,-5.95,-0.65,,,3.42,-1.69,2.26,-1.89,2.97,-6.67,7.1,1.24,,1.46,0.98,,-5.47,-1.35,18.25,6.1,-2.19,4.13,3.64,-1.87,0.89,-5.21,0.4378,1.922795
192811,1.64,7.34,,5.7,6.79,7.77,10.64,3.99,16.58,2.56,,2.57,5.86,12.39,,9.09,9.58,0.71,14.9,,15.78,23.5,4.7,43.38,5.77,,,15.11,6.32,17.85,21.93,6.68,-3.57,9.02,11.31,,13.46,4.44,,5.1,9.27,11.95,15.52,9.51,10.79,7.7,6.57,13.19,3.77,1.1137,12.14999
192812,-1.28,0.82,,-3.84,-1.92,-7.1,-0.08,1.59,-3.63,-0.38,,-1.73,0.01,2.33,,-5.87,1.07,1.97,3.84,,3.3,7.03,-0.02,0.53,1.47,,,1.96,-0.58,-4.55,1.57,-0.38,-9.78,-4.15,17.59,,3.35,-1.61,,1.71,0.21,-3.85,-1.24,-3.1,1.99,-0.41,-0.31,2.24,-12.59,0.3451,0.5557177
192901,11.79,2.34,,9.46,3.79,4.52,10.75,4.17,6.63,-1.88,,4.6,3.05,22.88,,-1.22,8.14,0.87,7.78,,12.18,12.79,0.96,1.72,0.73,,,8.48,1.75,-8.09,13.17,13.38,-12.65,0.75,3.09,,12.54,0.55,,5.58,4.72,-4.95,-3.97,-0.12,16.03,2.39,15.59,3,1.21,0.2734,5.393473
192902,6.42,-2.89,,-4.06,-4.64,-6.03,1.73,-5.59,-6.92,-4.08,,2.37,-0.71,-0.19,,2.35,-3.74,9.1,8.83,,1.2,-1.31,0.42,2.01,0.73,,,8.43,0.89,-0.16,-1.99,-1.15,7.59,4.02,1.64,,-0.14,1.56,,6.22,-1.43,-3.19,-2.49,0.16,3.98,-5.25,5.7,2.33,-6.18,0.4224,-0.04461388
192903,-10.99,-3.65,,-2.9,-4.19,-7.72,-9.99,-5.91,-7.65,-5.32,,1.4,-2.47,-3.37,,-7.27,-6.33,-0.19,-0.07,,-4.2,5.25,-1.34,-6.98,2.08,,,4.1,-6.52,12.07,-3.17,4.29,-12.82,-4.8,6.69,,-0.93,-3.18,,1.52,-2.83,-9.57,-5.13,-3.53,1.41,-4.58,-3.64,0.18,-7.41,0.3431,-0.7808392
192904,-6.44,5.24,,13.63,-2.41,-2.85,0.93,-0.63,0.56,3.62,,1.64,1.43,3.76,,2.74,3.24,17.63,1.15,,4.23,1.06,-1.23,6.95,-1.48,,,-5.86,-2.17,0.89,5.13,3.39,-2.94,3.13,7,,5.44,0.42,,7.91,1.33,3.58,3.56,10.37,-0.46,1.4,3.33,-0.12,-10.73,0.3567,1.717913
192905,-6.68,-4.88,,-11,-0.21,-16.79,-7.44,6.81,-10.37,-6.54,,-10.09,-7.06,-7.02,,-13.86,-6.91,-6.38,-12.41,,-9.66,0.83,-15.16,-12.99,-6.74,,,-10.99,-4.98,-5.6,4.8,-8.77,-12.88,-4.91,0.18,,-1.45,-3.48,,-8.17,2.5,-6.54,-8.85,-2.9,-3.13,-2.29,-8.33,-2.51,-13.21,0.3884,-5.992296
192906,-2.06,9.48,,12.51,-0.13,5.83,5.91,7.06,14.71,5.63,,9.93,2.71,19.98,,2.5,7.82,3.49,10.71,,15.25,19.23,6.86,14.3,10.13,,,2.42,2.18,1.09,23.47,13.7,21.74,14.88,13.18,,7.8,5.83,,12.59,6.01,-2.97,9.21,19.11,6.57,0.67,6.45,12.45,5.08,0.5193,10.15726
192907,3.02,5.09,,1.61,2.05,-6.88,-1.8,-0.6,6.55,-3.99,,1.09,3.34,5.12,,-3.68,4.18,-2.57,3.47,,5.22,10.1,-3.92,6.56,3.89,,,-2.36,19.82,-0.86,9.14,13.68,28.57,1.68,6.34,,-2.43,6.82,-8.51,7.03,8.29,-3.01,1.06,1.83,0.53,10.65,-1.24,14.03,4.49,0.3345,4.595761
192908,1.3,4.46,,9.79,8.29,-2.32,6.88,0.16,3.52,0.97,,-1.86,5.5,11.82,,0.26,3,0.49,11.82,,10.62,13.38,2.03,-1.51,4.39,,,8.92,5.26,11.74,9.05,10.98,-10.56,0.32,6.98,,-3.66,15.12,10.7,9.43,8.32,-5.79,8.15,4.71,7.71,11.68,7.02,2.83,-2.99,0.472,8.534303
192909,1.23,-2.64,,-2.26,-7.62,1.42,-1.86,-1.09,6.79,-4.11,,-6.31,-7.35,-6.79,,-3.25,-3.07,-1.44,-8.96,,-5.76,-11.47,-8.98,-23.2,0,,,-4.79,-2.05,-3.01,1.32,-1.37,-2.48,20.87,16.79,,-8.67,3.03,-7.56,-4.55,-7.71,-0.66,-5.62,-3.21,-4.04,-9.51,-6.48,-4.54,-0.18,0.3573,-5.045466
192910,-0.67,-16,,-26.26,2.32,-17.58,-17.33,-8.89,-32.46,-9.33,,-15.64,-19.1,-24.67,,-21.32,-17.25,-8.37,-15.5,,-22.42,-30.2,-28.11,-40.34,-12.3,,,-13.02,-6.64,-10.27,-30.04,-15.39,-28.66,-16.61,-27.2,,-15.44,-5.66,-18.18,-14.8,-8.01,-23.2,-24.13,-19.59,-33.29,-22.04,-9.7,-35.43,-32.63,0.4796,-19.66836
192911,-7.36,-9.79,,-11.85,-6.2,-23.1,-17.64,0.16,-14.73,-10.24,,-8.19,-7.77,-16.04,,-15.81,-10.93,-2.01,-13.83,,-13.97,-18.35,-17.63,-30,-3.63,,,-15,-4.77,-6.52,-14.64,-9.47,-39.29,-12.09,-28.15,,-14.91,-15.11,-15.56,-14.19,-7.86,-6.67,-12.48,-10.28,-22.57,-17.76,4.45,-17.41,-15.3,0.5018,-12.38121
192912,-4.88,0.47,,2.03,2.72,-5.31,-8.93,0.83,1.13,3.7,,0.62,1.34,6.35,,-6.26,-1.72,9.96,-0.45,,3.26,12.8,3.97,14.5,0.36,,,-1.7,-5.55,-0.91,7.94,1.01,0,-2.53,8.13,,-5.79,1.43,-3.95,-0.26,0.01,-0.81,-6.48,3.67,1.58,-4.23,-7.82,4.27,-8.66,0.3661,1.639001
193001,-0.86,5.74,,-8.61,8.56,-12.76,31.06,1.74,10.32,3.68,,4.49,1.64,8.17,,10.5,7.48,0.3,5.69,,8.43,10.95,6.38,0.98,2.8,,,6.09,0.33,-0.82,7.25,1.2,26.47,-30.49,9.43,,11.3,9.15,50,7.09,3.85,3.11,4.41,11.73,19.98,15.74,1.96,8.99,31.78,0.0088,5.840661
193002,-9.43,0.92,,1.15,5.52,21.21,16.99,5.66,-8.89,-0.32,,7.18,1.22,2.46,,5.7,0.34,7.36,0.09,,4.73,7.83,3.61,24.61,1.16,,,-0.94,4.52,-5.04,8.57,7.06,-25.58,36.22,4.09,,-1.25,12.65,-7.76,8.6,2.07,-4.62,-5.35,0.15,9.85,2.57,-4.46,10.41,-1.97,0.4951,2.824166
193003,-0.32,1.13,,-8.27,4.3,27.54,15.29,2.24,-0.19,7.3,,5.8,6.06,10.3,,-2.56,3.61,2.16,5.54,,5.21,9.13,12.68,28.05,-1.7,,,1.75,0.95,19.08,9.72,8.79,-1.56,6.12,0.27,,3.17,9.25,7.67,6.12,3.92,-4.91,-2.74,4.92,4.6,11.01,7.1,9.24,6.26,0.3475,7.463142
193004,3.92,3.16,,-11.33,-2.88,-21.63,6.25,2.18,-1.53,-1.13,,-9.23,1.67,-5.31,,-9.88,-5.97,8.16,-13.38,,6.24,2.97,-8.62,-5.48,-7.01,,,-13.56,-8.4,7.4,3.34,-4.52,33.33,-2.15,-6.64,,-21.4,5.4,-21.61,-2.51,-7.15,4.67,2.58,2.44,-9.1,-9.54,-2.93,-1.53,-3.24,0.2104,-2.05411
193005,-3.09,2.31,,-0.45,1.86,-0.43,-3.69,-0.9,-7.45,-4.2,,-5.28,-0.24,-2.34,,-5.77,-1.49,1.43,0.19,,-5.68,-4.9,5.04,-8.35,-4.55,,,5.4,-2.02,-3.81,-1.33,0.4,-15.48,-8.99,-1.08,,-11.6,-2.81,-21.11,0.32,-0.44,-8.21,0.07,-1.86,-6.23,-4.14,-2.18,-7.29,-8.15,0.5098,-1.401008
193006,-4.76,-12.14,,-29.19,-8.86,-17.01,-23.43,-10.55,-24.57,-12.4,,-14.78,-12.81,-17.73,,-18.26,-19.25,-4.14,-13.23,,-17.07,-20.07,-22.65,-28.42,-13.02,,,-7.97,-11.55,-15.67,-19.06,-8.34,-32.39,-10.33,-20.07,,-32.07,-15.94,-62.08,-16.49,-9.84,-24.1,-16.08,-17.26,-20.55,-13.24,-18.31,-25.53,-18.05,0.2693,-15.99798
193007,1.17,3.41,,1.74,2.93,13.21,2.43,1.59,5.84,3.23,,12.63,4.97,5.45,14.16,5.4,8.53,4.26,3.41,,3.04,3.99,11.81,7.36,3.54,,,3.64,-1.46,5.5,4.06,1.27,10.42,6.63,3.51,,20.14,3.47,9.8,7.5,3.24,-1.26,2.78,2.79,6.7,4.25,-0.82,5.42,5.67,0.1984,4.196365
193008,1.24,1.66,,9.24,4.62,6,3.62,-3.13,0.63,-2.89,,1.21,9.48,4.35,-4.06,-1.45,-2.5,-3.24,-2.46,,0.97,1.63,-2.24,-0.78,0.91,,,-13.14,2.4,-3.47,1.18,1.74,-5.66,3.94,3.45,,-3.59,6.23,3.57,-1.46,0.32,-7.71,5.42,1.75,0.81,-0.83,-7.77,4.01,0.86,0.1312,0.3662904
193009,-11.55,-9.9,,-12.28,-8.78,-10.17,-18.53,-0.65,-10.53,-3.37,,-6.33,-9.3,-14.12,-28.8,-13.01,-16.7,-11.2,-11.84,,-16.59,-20.05,-16.42,-30.44,-11.15,,,-9.27,-5.88,-15.94,-11.92,-5.27,4,-10.56,-10.99,,-17.74,-11.15,-27.59,-12.74,-8.38,-9.65,-10.8,-13.98,-12.36,-11.78,-15.31,-21.32,-12.81,0.2192,-12.48049
193010,-16.08,-3.91,,-1.24,-4.74,-4.56,-9.02,-5.86,-4.62,-5.19,,-2.28,-4.91,-12.32,-10.11,-3.71,-12.85,-21.42,-8.95,,-10.66,-18.64,-11.22,-17.03,-9.58,,,-10.59,-11.45,-8.19,-8.28,-4.12,-13.46,-5.07,-14.58,,-10,-12.04,-13.1,-3.05,-6.74,-6,-8.58,-10.38,-3.74,-10.44,-16.54,-18.44,-16.58,0.0866,-8.657879
193011,2.7,0.91,,3.54,-0.93,-8.13,-6.37,-2.61,-1.84,1.51,,-5.21,-2.7,0.1,10.75,-4.35,-2.07,-6.86,-1.3,,-0.73,-3.61,5.91,-5.81,7.1,,,4.53,-9.62,-3.4,-8.74,-3.27,7.78,-5.71,-4.1,,7.52,-1.6,-15.07,0.3,-5.43,2.75,2.97,-2.46,-7.22,-1.68,-10.22,-10.64,-1.52,0.0999,-2.805652
193012,-22.1,-3.44,,-11.58,-3.11,-3.64,-15.67,-5.56,-6.15,-7.47,,-2.32,-7.96,-4.7,-16.28,-6.14,-12.25,-12.19,-8.76,,-9.54,-12.03,-1.58,-18.03,-13.56,,,-8.32,-8.83,-12.49,-3.69,-3.8,-13.4,-0.68,0.65,,-12.18,-11.98,-24.19,-5.74,-7.9,-3.94,-13.86,-8.17,2.86,-10.26,-17.7,-14.86,-11.77,0.1398,-7.773924
193101,15.81,4.89,,6.62,6.43,-1.67,17.07,1.19,8.77,-0.22,,9.92,7.78,-0.7,16.67,13.33,7.84,-3.02,3.01,,5.6,5.05,7.05,22.17,7.7,,,6.96,14.16,4.84,5.53,4.79,45.24,6.34,6.7,,0.48,5.61,34.04,2.81,11.57,4.87,7.22,7.05,3.33,14.15,5.57,26.37,18.09,0.2737,6.378046
193102,13.17,6.61,,16.75,6.94,7.21,8.48,1.79,6.21,2.92,,1.76,9.49,13.58,23.33,15.44,14.28,14.61,14.35,,11.77,25.06,17.3,28.14,5.63,,,14.16,-0.64,6.13,15.27,5.95,31.15,2.01,14.71,,17.7,14.01,74.6,12.56,2.31,-2.05,15.33,11.11,15.56,6.54,24.48,20.15,13.03,0.0407,10.96945
193103,-10.26,-1.97,,-26.68,0.22,-7.06,-6.29,-0.84,-3.73,1.31,,-0.02,2.27,-7.25,9.41,-3.1,-7.35,0.38,-7.34,,-8.22,-7.97,-4.18,-9.87,-7.15,,,-6.71,-12.9,-14.33,-2.94,-3.58,72.5,-2.95,-7.63,,-4.5,-6.92,-16.36,-0.34,-10.44,-3.13,-3.25,-5.48,-11.35,-4.73,-18.51,-7.57,20.85,0.0755,-6.286591
193104,-2.16,-8.89,,-20.75,2.69,-12.7,-27.99,-8.01,-4.25,-8.21,,-6.43,-2.92,-12.83,-20.36,-12.13,-13.94,-13.32,-17.27,,-15.77,-14.63,-7.72,-12.54,-18.3,,,-12.84,-9.93,-13.64,-9.04,-4.25,-17.39,-7.73,-10.1,,-22.82,-4.45,-25,-8.17,-7.26,-4.38,-4.5,-12.66,-12.12,-8.82,-14.46,-18.06,-17.88,0.1123,-10.0219
193105,-6.76,-12.61,,-9.66,-11.13,-5.74,-24.77,-9.41,-10.94,-0.49,,-18.72,-8.23,-12,-8.98,-7.56,-15.24,-18.31,-20.72,,-19.02,-11.47,-15.88,-12.34,-18.48,,,-8.6,-18.65,-12.19,-11.15,-8.94,-15.79,-40.28,-17.8,,-18.37,-16.56,-21.74,-15.06,-17.17,-15.2,-2.91,-6.22,-5.18,-15.96,-27.75,-20.96,-7.03,0.0687,-13.38355
193106,8.17,10.74,,10.21,12.63,6.48,23.74,-0.88,8.53,11.65,,12.29,9.13,19.44,12.26,8.41,15.05,13.56,19.38,,12.3,18.57,15.14,23.91,20.15,,,6.98,22.25,17.32,11,10.21,29.17,9.34,23.51,,17.25,15.61,11.11,15.4,16.05,2.79,8.02,5.12,19.02,18.85,16.46,27.18,14.67,0.089,14.03397
193107,0.17,-4.31,,-9.96,-3.49,-15.75,-8.42,-1.59,-1.71,-3.31,,-6.39,4.24,-6.31,-11.78,-5.64,-9.38,-13.83,-15.15,,-12.17,-10.31,-2.38,-10.7,-8.19,,,-8.12,-16.17,-2.99,-5.39,-4.87,-6.32,-5.38,-13.36,,-6.51,-8.53,-13.33,-12.71,-10.47,-8.11,-1.19,-8.18,-16.15,-8.02,-9.89,-8.08,7.5,0.0324,-6.643803
193108,-3.69,1.85,,13.82,-3.51,-2.6,7.55,-5.34,-1.05,-2.4,,5.52,-0.45,1.37,-5.41,0.31,-3.36,-0.53,0.56,,-1.73,3.8,-2.66,5.02,-7.35,,,2.57,-2.89,10.02,-1.74,0.82,0.65,-4.24,2.26,,-1.81,4.89,1.92,0.9,-6.82,1.37,3.11,1.1,4.68,-0.6,6.39,-0.18,1.44,0.031,0.3078467
193109,-35.44,-27.87,,-25.17,-21.7,-26.55,-43.19,-20.4,-34.97,-8.39,,-25.97,-30.06,-30.42,-32.39,-21.6,-30.8,-33.94,-27.14,,-33.35,-34.53,-34.88,-40.4,-25.24,,,-31.79,-29.69,-29.84,-33.05,-21.56,-25.83,-22.2,-34.75,,-42.15,-28.52,-39.62,-23.57,-20.67,-26.12,-30.41,-27.17,-34,-45.76,-36.6,-39.47,-24.4,-0.1059,-29.17314
193110,-6.8,11.74,,25.18,6.08,7.8,19.61,-22.15,16.27,-2.47,,16.81,10.27,4.91,4.17,2.77,6.15,1.99,2.07,,9.08,11.76,12.28,13.07,13.31,,,18.71,1.9,14.48,10.48,4.34,5.75,5.09,10.48,,8.78,9.55,-15.62,11.68,-3.07,7.37,14.2,11.11,27.14,28.95,8.76,7.65,4.9,-0.0288,8.150863
193111,-9.25,-2.71,,-10.66,-6.1,-9.25,-31.52,-9.34,-7.65,-1.31,,-8.99,-1.61,-5.11,-0.8,-10.14,-8.79,-16.87,-10.1,,-7.26,-15.87,-3.68,-3.71,-17.49,,,-15.32,-17.73,-8.38,-4.77,-6.86,-10.7,-6.05,-5.22,,-2.84,-11.93,-11.11,-9.76,-21.36,-17.78,-9.12,-14.57,5.87,-10.58,-14.15,-12.93,-5.2,0.2097,-8.840158
193112,-16.04,-10.02,,-7.83,-6.26,-35.89,-29.98,-22.73,-9.18,-14.21,,-4.07,-4.1,-6.29,-12.5,-6.59,-17.63,-16.91,-25.59,,-17.43,-14.21,-8.25,-14.01,-18.32,,,-12.85,-22.72,-18.79,-13.24,-7.94,-4.85,-19.1,-9.93,,-20.6,-12.24,-25,-12.11,-14.87,-22.33,-15.17,-13.32,-23,-13.21,-23.04,-22.27,-13.91,-0.0929,-13.4971
193201,-12.46,-1.01,,-5.91,8.17,-14.43,18.96,-6.17,1.39,4.71,,0.94,-3.28,-5.85,0,1.05,-1.7,2.55,3.36,,1.48,-14.21,-7.85,9.69,13.96,,,1.41,5.78,-5.17,-2.52,-4.04,0.18,0.01,-4.14,,0.09,-3.34,27.78,-0.81,7.96,-0.28,0.93,-3.86,19,-1.15,1.18,3.18,6.95,0.0523,-1.053417
193202,25.93,6.73,,17.8,3.28,10.45,6.04,-0.65,2.93,0.97,,-10.12,4.24,8.89,-1.19,3.12,11.08,5.22,5.03,,-1.35,8.59,2.02,-3.37,4.58,,,-1.94,-3.5,9.15,7.04,11.63,3.74,-0.61,3.54,,-2.76,-1.73,-4.35,11.65,-4.09,3.82,4.03,7.43,15.31,7.34,7.61,15.17,4.77,0.093,5.766299
193203,-12.34,-6.82,,-11.29,-4.51,-7.32,-23.07,-12.69,-16.73,-2.38,,-1.05,-7.25,-11.6,-11.11,-3.99,-14.74,-9.78,-16.69,,-12.56,-17.17,-22.13,-29.53,-16.96,,,-6.14,-16.43,-0.65,-9.57,-9.9,-8.78,-2.57,-8.21,,-19.07,-4.96,6.82,-8.37,-17.59,-43.85,-8.91,-7.22,-16.91,-12.56,-0.56,-16.44,-15.2,0.1706,-11.05994
193204,-15.7,-12.89,,-9.77,-9.89,-2.87,-25.15,-12.69,-8.65,-5.02,,-20.48,-19.65,-33.3,-30.56,-11.65,-15.21,-19.08,-19.58,,-20.27,-22.97,-28.58,-13.5,-16.13,,,-14.44,-17.53,-13.85,-15.5,-12.39,-31.72,-10.8,-19.82,,-25.16,-33.22,-44.68,-29.24,-24.89,-4.67,-15.61,-19.76,-15.19,-42.22,-27.89,-14.35,-13.51,0.2487,-17.94166
