Date ,Asset1,Asset2,Asset3,Asset4,Asset5,Asset6,Asset7,Asset8,Asset9,Asset10,Asset11,Asset12,Asset13,Asset14,Asset15,Asset16,Asset17,Asset18,Asset19,Asset20,Asset21,Asset22,Asset23,Asset24,Asset25,Asset26,Asset27,Asset28,Asset29,Asset30,Asset31,Asset32,Asset33,Asset34,Asset35,Asset36,Asset37,Asset38,Asset39,Asset40,Asset41,Asset42,Asset43,Asset44,Asset45,Asset46,Asset47,Asset48,Asset49,Asset50,Asset51,Asset52,Asset53,Asset54,Asset55,Asset56,Asset57,Asset58,Asset59,Asset60,Asset61,Asset62,Asset63,Asset64,Asset65,Asset66,Asset67,Asset68,Asset69,Asset70,Asset71,Asset72,Asset73,Asset74,Asset75,Asset76,Asset77,Asset78,Asset79,Asset80,Asset81,Asset82,Asset83,Asset84,Asset85,Asset86,Asset87,Asset88,Asset89,Asset90,Asset91,Asset92,Asset93,Asset94,Asset95,Asset96,Asset97,Asset98,Asset99,Asset100,Rf,Rm
196411,-1.5574,0.4517,-1.6052,0.4354,2.3463,-0.4204,-1.6064,0.6335,-2.7625,1.1833,-3.1984,1.3082,0.1694,3.2743,2.2837,0.5312,2.0976,-1.8719,0.487,2.6245,0.6608,1.8478,3.0547,0.246,-0.1317,-0.5935,-0.6644,0.5365,2.196,-0.8598,-4.0951,-6.6912,-3.8137,2.7488,-0.5722,-2.8469,-3.0625,-4.4179,7.5142,-1.7159,-0.6496,-1.0063,3.6071,-0.3624,-0.7741,-4.4301,1.9465,2.8299,1.3099,-0.6329,-4.8473,-1.7771,3.5036,0.9226,-1.2271,2.2283,4.2667,-0.4585,1.8644,-0.1133,-3.5584,-0.0331,1.5072,-1.4375,0.5071,-0.3901,-1.8796,-1.6002,5.2534,0.1845,-1.5544,1.8154,0.4035,0.7375,1.6844,1.3514,1.1236,1.2979,0.1544,-0.2567,-5.461,-1.4454,-0.5043,-0.3151,1.8468,-0.1166,3.2269,0.6267,0.4918,1.3687,-6.2509,3.045,0.9723,1.0597,-1.9495,0.8033,1.3598,0.3772,2.4991,-1.4531,0.2778,0.3089569
196412,-1.7214,-0.2929,-0.0971,-1.8828,-3.0837,-3.8801,-1.036,-1.2774,-1.1529,-1.8934,-0.8967,-1.2469,-3.8531,-4.8368,-3.0729,-3.9452,-1.6527,3.7823,0.4592,-4.3371,-0.9089,-1.7457,1.6729,-3.4051,-3.6446,-3.7701,2.9464,2.7487,-0.0891,-0.8804,1.2006,-1.2137,3.6296,3.9598,0.4704,0.2873,0.3646,0.1368,2.2476,1.3438,4.0906,-3.68,0.1247,-0.5799,-2.2046,-2.0881,2.9411,-1.8584,0.5694,0.0289,2.5996,-2.0587,-0.1163,-2.6915,-0.3075,2.0256,-1.3934,0.4547,-1.8756,0.7898,0.9502,-2.8097,-1.186,0.5866,-0.579,-0.0523,-0.131,-1.4635,3.9438,1.1737,-2.5084,-2.3813,-2.7971,-2.9704,-0.0259,1.9514,0.7547,0.7488,0.9371,-2.1502,-1.6755,-2.4397,-1.2026,-2.1625,-2.1756,-0.7938,-0.6453,0.2298,2.7165,-1.1698,-4.3165,0.4488,-0.3315,-1.5264,3.4441,0.3819,-0.6254,1.1313,0.6577,1.1399,0.3514,0.3689846
196501,8.2573,6.9135,6.6738,8.7927,8.6371,5.5776,8.5451,12.5073,11.918,7.1127,3.2061,6.8871,7.0884,8.7663,5.4517,1.9712,7.2005,4.6212,4.0492,9.3159,2.4291,4.5177,3.0556,5.7712,6.0905,4.9189,5.606,10.6094,6.4668,11.9297,6.1815,10.4028,5.9006,3.3691,5.198,6.291,7.3486,6.0505,5.911,4.0452,4.483,8.1984,3.414,6.9948,4.3314,2.1015,6.1024,4.6118,14.5821,4.7478,2.2743,8.7741,7.951,8.7117,3.7176,3.601,9.0019,3.8132,6.5476,5.8166,9.3584,5.8597,7.4915,1.9278,1.8288,3.4989,7.0867,4.1432,10.9819,6.6907,9.2201,9.526,4.5755,5.9089,4.5274,3.2249,3.2729,6.0692,3.5224,8.9766,12.7301,6.043,4.4177,1.1163,4.3179,4.899,6.0882,3.9469,3.1443,5.5928,6.8292,1.0558,2.2501,-1.0603,0.0525,3.612,4.8051,4.1089,4.7931,5.9792,0.2994,3.864574
196502,2.2271,0.896,2.2722,2.8445,1.7788,4.8703,8.321,0.9483,4.8663,3.7296,1.3476,2.6156,2.4224,0.2161,7.3998,2.2478,0.1982,4.3796,3.804,3.3299,3.6919,2.4041,0.9069,-0.8423,7.2283,5.6412,2.9831,6.6936,2.0507,3.8946,3.8998,5.1637,3.8355,2.0891,7.9173,1.9109,4.6819,-0.7344,1.3934,2.3638,9.6719,6.7215,1.6011,8.37,5.6461,7.6996,0.5712,1.6427,15.0251,7.3006,-1.3285,1.6618,5.4608,0.9206,4.0071,5.5651,-2.6776,2.2701,1.4148,10.8776,1.2834,3.6292,1.6163,5.4268,2.6946,-0.1472,2.7539,0.9569,2.8643,5.1683,-0.0917,2.9825,1.0503,6.5247,2.085,3.6058,3.4485,2.6808,2.0342,7.6179,5.6134,2.2374,1.7223,2.3174,1.4225,1.5426,2.5476,3.4716,2.8234,6.193,-3.002,2.3366,-1.956,-3.9096,0.3891,0.7275,0.2118,0.1265,-0.7651,0.549,0.2867,0.6945935
196503,0.9386,4.827,7.6243,-0.117,2.9095,7.6871,-0.2167,2.4862,-1.8465,3.5008,1.9407,1.0756,2.9381,4.7244,0.9344,1.9012,-0.7908,-2.2249,2.5761,0.1743,0.1553,1.2356,0.2138,0.7081,0.3272,1.503,0.7541,9.6289,1.8831,7.1823,-0.943,0.9528,-1.441,1.601,1.2243,-1.1529,0.5274,-1.0206,0.3631,-0.9629,-1.4925,-0.3657,2.2348,-0.1492,1.212,-1.7776,2.1424,1.5546,-5.9608,-3.9888,0.3393,0.3349,-2.004,1.8665,1.3204,-1.8161,-4.6494,3.1638,0.6939,-1.5918,0.4711,-0.7165,1.0556,-1.1611,0.2026,-1.161,-1.6586,-0.2719,-4.8601,-0.6508,1.6272,0.6156,2.196,-1.4441,2.4552,-0.513,0.517,-2.1054,-1.7147,-2.253,-3.7172,0.6147,1.6429,-1.8329,-0.8343,-1.5209,0.4958,-0.8448,-0.8042,-0.8431,-4.6131,-3.5427,-1.4467,-3.3147,-2.2211,0.603,-0.4242,-0.9191,-2.8982,-0.7678,0.3865,-0.971524
196504,3.5604,3.2523,8.7871,7.8432,3.747,2.1444,6.084,1.564,7.4916,5.0453,1.6282,4.4332,1.5061,3.1524,6.7224,4.246,4.1856,3.9815,2.6173,7.4573,0.2643,3.6441,5.6064,1.3231,7.1397,-1.8814,2.0735,4.9083,2.3833,0.4471,3.6525,6.598,4.0834,3.05,9.9658,6.4272,1.1281,5.432,5.5695,3.5526,12.681,8.226,2.2684,3.0554,4.646,8.5363,5.4654,6.5637,0.9291,2.8623,-1.111,3.0039,4.6721,1.5529,2.401,4.2241,0.6212,2.0437,3.3421,2.7648,5.1552,4.3442,7.4173,1.2211,6.0466,-0.2072,2.7699,1.2491,1.8006,5.173,10.9903,5.0402,3.1964,0.8547,5.5346,3.1698,2.163,3.1158,4.6743,4.3925,3.7106,6.5391,1.6953,1.6985,3.6458,0.8552,1.4599,3.9623,3.8325,1.3678,1.9093,2.1078,1.03,1.2827,4.2389,1.4132,2.3543,3.937,2.9587,5.7154,0.3387,3.365218
196505,0.2249,-1.9574,-0.7361,-1.9738,-0.1661,3.0146,0.6069,-2.5627,0.9126,1.3226,-2.5648,-3.7905,-2.7845,1.552,-3.6867,-3.2122,5.6374,-4.4915,0.0385,-2.4617,1.1613,-0.9849,0.7509,1.0373,-3.7303,1.2574,-2.3247,11.8398,1.0968,0.9879,-1.8364,1.8424,2.8064,2.3585,-0.9976,0.9689,-0.9568,1.1333,0.9074,-4.4751,-8.2244,-1.0819,2.887,1.6202,-0.7726,-3.5401,1.5435,1.4295,0.5617,0.5192,-2.3743,-2.974,3.4606,-0.0349,-3.4642,-1.1519,-1.9156,-3.0218,-0.8453,4.3945,-6.7212,-1.5453,-1.134,1.932,0.8518,0.4456,-2.1999,-0.5676,1.459,2.3117,-7.1405,-1.0281,0.7978,-0.8867,0.166,-2.6377,-1.7023,0.0589,0.586,5.2059,-6.4455,2.2847,2.0998,0.0004,-0.8949,-2,-1.6995,-0.5616,1.507,1.0601,-5.7939,1.5183,2.3827,-0.4505,1.5976,-0.5307,0.0367,-2.5316,0.3873,-2.1057,0.3133,-0.4350524
196506,-10.8662,-8.8306,-9.6659,-6.7387,-12.2508,-7.6278,-8.539,-9.7158,-11.3836,-10.5218,-10.071,-7.5453,-10.1479,-11.0394,-12.5022,-9.3109,-10.4075,-7.0934,-11.1806,-10.1826,-11.2251,-9.0318,-7.6507,-8.0896,-10.5412,-7.1023,-6.1332,-16.9038,-9.6319,-10.4208,-8.4344,-9.3302,-8.0341,-7.8776,-9.9175,-10.1975,-10.8472,-13.1719,-7.9784,-10.2715,-11.4257,-9.8643,-10.4142,-10.8437,-7.4506,-7.4189,-7.7731,-9.202,-5.1677,-8.4789,-6.4178,-10.1207,-9.0499,-7.9568,-7.9168,-8.5874,-3.9174,-7.4664,-5.1699,-13.6971,-8.1926,-8.6292,-9.2488,-8.4626,-7.6501,-4.7594,-8.2712,-5.6784,-5.2153,-9.8085,-9.1169,-8.7386,-9.6746,-8.5519,-8.7439,-4.3528,-6.3826,-5.7355,-7.9908,-11.0719,-13.6778,-10.6869,-3.655,-5.6267,-6.2418,-3.7971,-5.5381,-4.4437,-6.3038,-7.1113,-1.193,-5.2407,-2.4424,-1.5022,-3.6426,-4.4071,-4.3832,-5.2301,-4.4178,-5.567,0.3749,-5.186835
196507,1.781,4.6752,1.7134,1.8701,5.1128,5.1833,3.2105,2.3876,0.5695,1.1867,3.7762,3.9149,-1.6248,4.4071,7.2336,4.8389,0.803,3.8357,10.6539,3.3596,1.4387,7.9381,3.1696,4.2081,1.0552,2.247,3.0324,0.7421,1.4122,4.065,2.0801,0.8137,1.4575,2.9099,8.1069,1.9874,3.3667,1.1384,0.4734,4.2732,5.9735,1.2958,5.7337,6.7915,5.3763,0.5896,4.2499,-0.1676,4.6383,0.0954,2.0161,9.993,7.1944,4.5208,0.9949,2.7939,0.0965,3.5153,5.2689,1.4982,3.9588,2.2523,3.09,4.4021,3.3034,1.1746,-0.2437,1.5274,3.27,3.8385,7.7616,3.8312,0.7336,2.7568,4.4374,3.7126,2.1969,4.7308,2.0215,2.1715,4.6305,6.5797,2.3471,2.0255,5.7739,2.2564,1.9398,-0.5529,1.5029,1.3153,7.8361,5.2252,2.3659,-1.2482,-0.7402,2.4466,0.8349,-0.7643,1.625,1.9295,0.3254,1.67595
196508,2.3968,5.0657,3.5138,2.2698,3.4547,5.5262,4.7576,2.7663,6.7841,4.0381,5.8985,1.338,3.3681,-2.688,3.3848,1.7415,4.6808,4.2194,3.5503,4.0723,6.68,1.079,7.834,3.654,4.674,2.3693,-1.2898,2.1039,5.3852,5.191,4.481,5.8894,6.2252,6.0318,7.2772,3.8203,1.1533,7.3057,8.4632,6.6088,8.3076,4.2088,6.7441,9.8365,5.4842,3.0976,2.4963,7.3539,7.0472,7.7657,2.6983,9.4413,8.6117,3.5798,8.691,1.2787,2.9441,2.4253,5.3587,10.8809,3.1319,2.8416,3.1061,4.4365,0.173,5.3295,3.5156,3.6858,4.1104,7.5646,9.2854,1.5606,6.3292,5.2618,5.2389,3.1806,3.4379,2.6292,4.4609,6.3922,2.1136,1.6102,2.648,2.476,5.6397,1.7914,2.5087,2.2237,5.5828,4.1259,3.387,-0.7392,0.9368,1.6397,-1.1739,2.4501,2.07,1.4159,8.0881,3.2319,0.3402,3.088298
196509,3.3729,4.9377,3.6783,7.09,8.5862,6.7871,4.9497,3.0449,0.6801,3.9682,5.6906,2.0207,-0.0118,0.2274,5.6617,1.0306,-0.0301,5.9924,4.336,4.6501,1.4429,8.5628,10.1199,1.7576,0.8678,3.4623,0.8383,0.1025,-0.5986,4.5434,6.5456,4.7163,1.8042,5.1371,8.9545,1.524,5.6809,5.8059,4.6188,-0.265,4.3814,3.5417,13.2307,3.7105,8.6033,4.4428,1.9388,1.5841,8.7829,0.6323,-1.1853,3.9918,7.7694,1.4477,4.4127,-0.5833,3.366,2.1177,2.0796,2.6514,4.8431,1.6081,0.8125,4.6419,3.7314,2.2406,3.3486,5.419,4.4997,1.4581,0.8922,7.2911,2.4566,1.1958,1.4256,1.5457,2.718,3.0527,4.7647,7.0197,3.7978,5.8388,3.6019,1.9089,1.3269,2.0084,2.057,1.5078,5.0332,2.1464,3.9252,3.1981,3.8902,0.2355,3.673,4.9393,2.7638,3.4848,3.6277,4.1139,0.3095,3.195219
196510,7.951,10.082,4.8701,8.6952,5.7342,9.9945,9.7742,4.648,9.0887,5.5862,4.4089,10.5576,8.2084,3.3878,7.3147,6.4323,5.1737,6.6337,8.8115,9.7492,5.8282,5.1072,9.5388,4.4852,3.0418,3.4999,3.7491,4.9809,3.2832,12.9111,10.5333,3.7504,2.1175,7.7577,0.1047,4.6742,-1.6083,5.5335,6.6517,4.4012,5.5512,5.3322,6.5874,7.9809,7.319,4.2493,5.1526,3.6928,9.168,6.1705,-0.2729,4.1094,10.3141,6.8787,2.4023,3.7834,1.9507,8.573,4.8003,5.242,6.0725,2.7555,1.5584,3.1898,4.4042,-0.2892,1.8429,4.8298,5.1115,6.166,12.4116,2.2471,1.3198,4.8476,1.6403,4.0098,3.517,2.3155,3.8118,8.9069,-0.0349,4.9186,3.1514,2.8757,0.3341,2.9183,1.8845,2.9696,5.475,1.3561,2.862,1.8153,1.0213,-1.2416,2.3699,0.1128,2.1412,2.5048,6.7417,3.9705,0.3507,2.927143
196511,10.2379,15.298,5.5166,8.6361,5.3311,4.1635,10.5131,3.2319,5.957,7.7449,5.1031,4.5863,4.2194,6.1718,6.8613,2.8735,3.7955,6.7074,0.9641,-0.3693,3.438,0.6344,6.1614,0.9739,5.0537,0.9113,1.1672,0.6113,3.7688,10.2902,4.4743,8.5606,13.1699,1.6997,9.3568,0.6509,1.2147,1.4951,7.1446,2.5091,1.5977,3.9578,9.4532,5.2471,3.8108,5.0042,0.8876,4.3386,8.2256,3.87,1.1806,-1.3548,2.1398,-0.4222,2.6869,5.8521,-0.0627,10.7903,1.1454,12.5791,6.784,-2.1616,3.7936,3.5446,4.5814,1.9702,2.2921,4.8542,4.2513,6.8466,-3.259,-0.5784,6.2213,-1.9939,1.8624,2.8835,0.2217,4.949,4.4636,8.9751,0.4843,5.4292,-2.7391,0.6219,0.0148,1.2757,2.2462,1.3832,5.0375,5.8414,4.236,0.7278,-0.2008,-3.2347,-0.9906,-2.4632,-0.504,1.1855,-0.1557,-1.8664,0.3714,0.3064989
196512,6.3123,2.4018,4.7941,1.9235,5.3516,7.4148,1.4202,6.129,2.392,10.4306,1.8373,5.4451,3.7814,-2.7434,1.5614,13.3734,3.585,-1.3723,-1.2745,11.6995,8.4818,2.6475,4.9766,0.4563,3.9664,6.1936,2.6123,4.4579,1.1738,3.5935,16.2254,0.5449,3.4517,3.7986,2.5688,1.602,4.2562,0.4669,8.325,1.0182,5.7312,1.8341,4.5597,-0.2044,11.2572,0.2523,2.4548,1.6014,-1.436,2.0754,0.0553,-2.2414,7.6496,6.1645,3.7379,-2.8867,2.7522,0.3944,2.4717,3.8039,11.1089,2.8491,2.5899,0.7796,3.7334,2.5632,3.9409,-1.2471,1.4283,5.4559,9.739,2.7669,-0.6406,4.2713,2.3036,3.8084,-1.0004,-1.1621,0.7419,0.5554,8.1074,-2.5957,2.5508,3.1807,3.1573,-2.7614,2.7029,0.5009,0.3569,1.2545,-0.9975,0.6401,0.4089,-0.3174,1.676,1.3587,0.6069,0.1659,2.5578,-0.6379,0.2989,1.354478
